UniProt_ID	UCSC_ID	Matched ratio
sp|A1L453|PRS38_HUMAN	uc001hrh.3	100
sp|A1L4H1|SRCRL_HUMAN	uc002qlg.4	100
sp|A1L4H1-2|SRCRL_HUMAN	uc021vbw.1	100
sp|A1L4K1|FSD2_HUMAN	uc002bjd.2	100
sp|A1L4K1-2|FSD2_HUMAN	uc010uom.1	100
sp|A1L4L8|PL8L1_HUMAN	uc003lnv.3	100
sp|A1X283|SPD2B_HUMAN	uc003mbr.3	100
sp|A1XBS5|F92A1_HUMAN	uc022ayd.1	100
sp|A1Z1Q3|MACD2_HUMAN	uc002wou.3	100
sp|A1Z1Q3-2|MACD2_HUMAN	uc002wot.3	100
sp|A1Z1Q3-4|MACD2_HUMAN	uc002woz.3	100
sp|A1Z1Q3-5|MACD2_HUMAN	uc002wpb.3	100
sp|A1Z1Q3-6|MACD2_HUMAN	uc002wpd.3	100
sp|A2A288|ZC12D_HUMAN	uc010kid.3	100
sp|A2A288-3|ZC12D_HUMAN	uc003qmn.1	100
sp|A2A2V5|SRTM1_HUMAN	uc021rii.1	100
sp|A2A2Y4|FRMD3_HUMAN	uc004ams.2	100
sp|A2A2Y4-2|FRMD3_HUMAN	uc004amr.1	100
sp|A2A2Y4-3|FRMD3_HUMAN	uc022biz.1	100
sp|A2A2Y4-4|FRMD3_HUMAN	uc004amq.1	100
sp|A2A2Y4-5|FRMD3_HUMAN	uc022bja.1	100
sp|A2A2Z9|AN18B_HUMAN	uc010mjw.2	99
sp|A2A368|MAGBG_HUMAN	uc022bus.1	100
sp|A2A3K4|PTPC1_HUMAN	uc004auf.2	100
sp|A2A3K4-2|PTPC1_HUMAN	uc004auh.2	100
sp|A2A3L6|TTC24_HUMAN	uc021pbf.1	100
sp|A2A3N6|PIPSL_HUMAN	uc009xuj.2	100
sp|A2AJT9|CX023_HUMAN	uc004czp.3	96
sp|A2AJT9-2|CX023_HUMAN	uc004czp.3	100
sp|A2BFH1|PAL4G_HUMAN	uc001ejt.3	100
sp|A2CJ06|DYTN_HUMAN	uc002vbr.1	100
sp|A2IDD5|CCD78_HUMAN	uc002cjg.3	100
sp|A2IDD5-4|CCD78_HUMAN	uc010uuo.1	100
sp|A2IDD5-5|CCD78_HUMAN	uc002cji.3	100
sp|A2PYH4|HFM1_HUMAN	uc001doa.4	100
sp|A2RRD8|ZN320_HUMAN	uc002qai.3	100
sp|A2RRH5-2|WDR27_HUMAN	uc003qwy.3	100
sp|A2RRH5-3|WDR27_HUMAN	uc010kkx.3	100
sp|A2RRH5-4|WDR27_HUMAN	uc003qwx.3	100
sp|A2RRL7|TM213_HUMAN	uc010lna.3	100
sp|A2RRL7-3|TM213_HUMAN	uc010lnb.3	100
sp|A2RRP1|NBAS_HUMAN	uc002rcc.2	100
sp|A2RTX5|SYTC2_HUMAN	uc002bxm.3	100
sp|A2RTY3|HEAT9_HUMAN	uc002hke.1	100
sp|A2RTY3-3|HEAT9_HUMAN	uc010wcl.1	100
sp|A2RTY3-4|HEAT9_HUMAN	uc010wcm.1	100
sp|A2RU14|TM218_HUMAN	uc031qfd.1	100
sp|A2RU30|TESP1_HUMAN	uc010spd.2	100
sp|A2RU37|CI170_HUMAN	uc004apa.1	100
sp|A2RU48|SMCO3_HUMAN	uc021qvp.1	100
sp|A2RU49|HYKK_HUMAN	uc010unc.2	100
sp|A2RU49-3|HYKK_HUMAN	uc010ble.3	100
sp|A2RU54|HMX2_HUMAN	uc001lhc.1	100
sp|A2RU67|K1467_HUMAN	uc001rbi.3	100
sp|A2RUB1|CQ104_HUMAN	uc002iha.3	100
sp|A2RUB1-1|CQ104_HUMAN	uc002igz.3	100
sp|A2RUB6|CCD66_HUMAN	uc003dhz.3	100
sp|A2RUB6-2|CCD66_HUMAN	uc003dhw.2	100
sp|A2RUB6-3|CCD66_HUMAN	uc003dhu.3	100
sp|A2RUC4|TYW5_HUMAN	uc002uvi.4	100
sp|A2RUC4-2|TYW5_HUMAN	uc010fss.3	100
sp|A2RUG3|XKRY2_HUMAN	uc004ftn.3	100
sp|A2RUH7|MBPHL_HUMAN	uc001dxk.1	100
sp|A2RUH7-2|MBPHL_HUMAN	uc010ovh.1	100
sp|A2RUQ5|CQ102_HUMAN	uc002hie.1	100
sp|A2RUR9|C144A_HUMAN	uc002gqk.1	100
sp|A2RUS2|DEND3_HUMAN	uc003yvy.3	100
sp|A2RUS2-3|DEND3_HUMAN	uc003ywa.1	100
sp|A2RUT3|TMM89_HUMAN	uc011bbo.2	100
sp|A2RUU4|COLL1_HUMAN	uc003old.4	100
sp|A2VCK2|DCD2B_HUMAN	uc001bun.2	100
sp|A2VCL2-1|CC162_HUMAN	uc003ptb.1	100
sp|A2VDF0|FUCM_HUMAN	uc001lmt.2	100
sp|A2VDF0-2|FUCM_HUMAN	uc001lms.2	100
sp|A2VDJ0|T131L_HUMAN	uc003inm.4	100
sp|A2VDJ0-5|T131L_HUMAN	uc010ipp.3	100
sp|A2VEC9|SSPO_HUMAN	uc010lpk.3	100
sp|A3KFT3|OR2M5_HUMAN	uc010pze.2	100
sp|A3KMH1|VWA8_HUMAN	uc001uyj.3	100
sp|A3KMH1-2|VWA8_HUMAN	uc001uyk.3	100
sp|A3KN83|SBNO1_HUMAN	uc010tap.2	100
sp|A3KN83-2|SBNO1_HUMAN	uc010tao.2	100
sp|A3KN83-3|SBNO1_HUMAN	uc010tap.2	99
sp|A3QJZ6|PRA22_HUMAN	uc001aut.1	100
sp|A4D0S4|LAMB4_HUMAN	uc003vey.2	100
sp|A4D0T2|CG066_HUMAN	uc003vfo.3	100
sp|A4D0V7|CPED1_HUMAN	uc003vjq.4	100
sp|A4D0V7-2|CPED1_HUMAN	uc003vjs.4	100
sp|A4D0Y5|YG056_HUMAN	uc003vlj.2	100
sp|A4D126|ISPD_HUMAN	uc010ktx.2	100
sp|A4D126-2|ISPD_HUMAN	uc010kty.2	100
sp|A4D161|F221A_HUMAN	uc003swo.4	100
sp|A4D161-2|F221A_HUMAN	uc003swq.4	100
sp|A4D161-3|F221A_HUMAN	uc003swr.4	100
sp|A4D174|CG071_HUMAN	uc003syb.3	100
sp|A4D1B5|GSAP_HUMAN	uc003ugf.3	100
sp|A4D1B5-4|GSAP_HUMAN	uc003ugd.3	100
sp|A4D1E1|Z804B_HUMAN	uc011khi.2	100
sp|A4D1E9|GTPBA_HUMAN	uc003ukm.2	100
sp|A4D1E9-2|GTPBA_HUMAN	uc003ukn.2	100
sp|A4D1F6|LRRD1_HUMAN	uc011khp.1	100
sp|A4D1F6-2|LRRD1_HUMAN	uc031syh.1	100
sp|A4D1P6|WDR91_HUMAN	uc003vsp.2	100
sp|A4D1S0|KLRG2_HUMAN	uc003vvb.3	100
sp|A4D1S0-2|KLRG2_HUMAN	uc010lnc.3	100
sp|A4D1S5|RAB19_HUMAN	uc011krc.1	100
sp|A4D1T9|PRS37_HUMAN	uc003vws.2	100
sp|A4D1U4|LCHN_HUMAN	uc003vwk.3	100
sp|A4D263|CG072_HUMAN	uc011kcj.2	99
sp|A4D2B0|MBLC1_HUMAN	uc022aig.1	100
sp|A4D2G3|O2A25_HUMAN	uc011ktx.2	100
sp|A4D2H0|CTGEF_HUMAN	uc011kth.3	100
sp|A4D2P6|GRD2I_HUMAN	uc011jwx.2	100
sp|A4FU01|MTMRB_HUMAN	uc001etl.4	100
sp|A4FU01-4|MTMRB_HUMAN	uc001etm.2	100
sp|A4FU01-6|MTMRB_HUMAN	uc010pbm.1	100
sp|A4FU28|CTGE9_HUMAN	uc011ece.2	100
sp|A4FU49-3|SH321_HUMAN	uc010oib.1	100
sp|A4FU49-6|SH321_HUMAN	uc010oia.1	100
sp|A4FU69|EFCB5_HUMAN	uc002het.3	99
sp|A4FU69-5|EFCB5_HUMAN	uc010wbj.2	99
sp|A4GXA9|EME2_HUMAN	uc010brw.1	100
sp|A4QMS7|CE049_HUMAN	uc003jea.5	100
sp|A4QPB2|LRP5L_HUMAN	uc011ajz.2	100
sp|A4QPB2-2|LRP5L_HUMAN	uc010guw.1	100
sp|A4QPH2|PI4P2_HUMAN	uc002zuv.4	99
sp|A4QPH2-2|PI4P2_HUMAN	uc002zux.2	99
sp|A4UGR9-2|XIRP2_HUMAN	uc010fpq.3	100
sp|A4UGR9-3|XIRP2_HUMAN	uc002udy.3	100
sp|A4UGR9-4|XIRP2_HUMAN	uc010fpo.3	100
sp|A4UGR9-6|XIRP2_HUMAN	uc010fpn.3	100
sp|A4UGR9-8|XIRP2_HUMAN	uc002udx.3	100
sp|A5A3E0|POTEF_HUMAN	uc010fmh.2	100
sp|A5D6W6|FITM1_HUMAN	uc001wmf.2	100
sp|A5D8T8|CL18A_HUMAN	uc002eya.4	100
sp|A5D8V6|VP37C_HUMAN	uc001nqv.1	100
sp|A5D8V7|CC151_HUMAN	uc002mrs.3	100
sp|A5D8V7-2|CC151_HUMAN	uc002mrr.3	96
sp|A5D8W1|CG063_HUMAN	uc010lep.3	100
sp|A5D8W1-5|CG063_HUMAN	uc011khj.2	100
sp|A5LHX3|PSB11_HUMAN	uc010ake.1	100
sp|A5PKW4|PSD1_HUMAN	uc009xxd.2	100
sp|A5PKW4-2|PSD1_HUMAN	uc001kvh.2	100
sp|A5PL33|KRBA1_HUMAN	uc003wfz.3	100
sp|A5PL33-2|KRBA1_HUMAN	uc003wfz.3	99
sp|A5PLK6|RGSL_HUMAN	uc009wxw.3	100
sp|A5PLK6-6|RGSL_HUMAN	uc021pfx.1	100
sp|A5PLL1|AN34B_HUMAN	uc021yax.1	100
sp|A5PLL7|TM189_HUMAN	uc002xvg.2	99
sp|A5PLL7-2|TM189_HUMAN	uc010gif.2	99
sp|A5PLN7-2|F149A_HUMAN	uc010isl.3	100
sp|A5PLN9|TPC13_HUMAN	uc003jtz.4	100
sp|A5PLN9-2|TPC13_HUMAN	uc003juc.4	100
sp|A5PLN9-4|TPC13_HUMAN	uc010iwv.3	100
sp|A5PLN9-5|TPC13_HUMAN	uc003jua.4	100
sp|A5X5Y0|5HT3E_HUMAN	uc010hxq.3	100
sp|A5X5Y0-2|5HT3E_HUMAN	uc003fml.4	100
sp|A5X5Y0-3|5HT3E_HUMAN	uc003fmm.3	100
sp|A5X5Y0-4|5HT3E_HUMAN	uc003fmn.3	100
sp|A5X5Y0-6|5HT3E_HUMAN	uc010hxr.3	100
sp|A5YKK6|CNOT1_HUMAN	uc002env.4	100
sp|A5YKK6-2|CNOT1_HUMAN	uc002enu.5	100
sp|A5YKK6-4|CNOT1_HUMAN	uc002enx.4	100
sp|A5YM69|ARG35_HUMAN	uc022aog.1	100
sp|A5YM72|CRNS1_HUMAN	uc009yrp.3	100
sp|A5YM72-3|CRNS1_HUMAN	uc001olc.4	100
sp|A5YM72-4|CRNS1_HUMAN	uc010rpr.2	97
sp|A5YM72-5|CRNS1_HUMAN	uc010rpr.2	100
sp|A6BM72|MEG11_HUMAN	uc002apm.2	100
sp|A6BM72-2|MEG11_HUMAN	uc002apl.2	100
sp|A6H8M9|CDHR4_HUMAN	uc010hkz.3	100
sp|A6H8M9-2|CDHR4_HUMAN	uc003cxp.2	100
sp|A6H8Y1|BDP1_HUMAN	uc003kbp.1	100
sp|A6H8Y1-2|BDP1_HUMAN	uc003kbo.3	100
sp|A6H8Y1-4|BDP1_HUMAN	uc003kbn.1	100
sp|A6H8Y1-6|BDP1_HUMAN	uc003kbp.1	99
sp|A6H8Z2|F221B_HUMAN	uc010mlc.2	100
sp|A6NC05|YD286_HUMAN	uc021ydb.1	100
sp|A6NC05-2|YD286_HUMAN	uc021ydc.1	100
sp|A6NC42|DPPA5_HUMAN	uc003pgs.2	100
sp|A6NC51|T150B_HUMAN	uc010yfu.1	100
sp|A6NC57|ANR62_HUMAN	uc031rhk.1	100
sp|A6NC86-2|PINLY_HUMAN	uc021uvg.1	100
sp|A6NC86-3|PINLY_HUMAN	uc010xwq.2	99
sp|A6NC86-4|PINLY_HUMAN	uc002owu.2	100
sp|A6NC97|F172B_HUMAN	uc003duy.1	100
sp|A6NC98|CC88B_HUMAN	uc001nzy.3	100
sp|A6NC98-3|CC88B_HUMAN	uc001nzz.1	100
sp|A6NCC3|GOG8O_HUMAN	uc031qrg.1	100
sp|A6NCD4-2|CJ131_HUMAN	uc010qoo.2	100
sp|A6NCE7|MP3B2_HUMAN	uc021rej.1	100
sp|A6NCF5|KLH33_HUMAN	uc010tli.2	100
sp|A6NCI4|VWA3A_HUMAN	uc010vbq.2	100
sp|A6NCI4-4|VWA3A_HUMAN	uc010bxe.1	100
sp|A6NCI8|CB078_HUMAN	uc002sjr.1	100
sp|A6NCJ1|CS071_HUMAN	uc010xhm.2	100
sp|A6NCK2|TR43B_HUMAN	uc021vle.1	100
sp|A6NCL1|GEMC1_HUMAN	uc011bsl.1	100
sp|A6NCL2|LRCL1_HUMAN	uc021rgr.1	100
sp|A6NCL7|AN33B_HUMAN	uc021xwp.1	100
sp|A6NCN2|KR87P_HUMAN	uc010snr.1	100
sp|A6NCQ9|RN222_HUMAN	uc021tqa.1	100
sp|A6NCS4|NKX26_HUMAN	uc011kzy.3	100
sp|A6NCS6|CB072_HUMAN	uc002vrl.4	100
sp|A6NCV1|O6C74_HUMAN	uc010spg.2	100
sp|A6NCW0|U17L3_HUMAN	uc031taf.1	100
sp|A6NCW7|U17L4_HUMAN	uc031tab.1	100
sp|A6ND01|JUNO_HUMAN	uc021qou.1	100
sp|A6ND01-2|JUNO_HUMAN	uc021qou.1	97
sp|A6ND36|FA83G_HUMAN	uc002guw.3	100
sp|A6ND48|O14I1_HUMAN	uc001ieu.1	100
sp|A6ND91|ASPD_HUMAN	uc010enz.3	100
sp|A6ND91-2|ASPD_HUMAN	uc002psr.4	100
sp|A6NDA9|LRIT2_HUMAN	uc001kcy.3	100
sp|A6NDA9-2|LRIT2_HUMAN	uc010qmc.2	100
sp|A6NDB9|PALM3_HUMAN	uc010xnk.1	100
sp|A6NDD5|SYN1L_HUMAN	uc001xpx.2	100
sp|A6NDE4|RBY1B_HUMAN	uc004fuw.4	100
sp|A6NDE8|GG12H_HUMAN	uc004doh.4	99
sp|A6NDG6|PGP_HUMAN	uc002cpk.1	100
sp|A6NDH6|O5H15_HUMAN	uc011bgu.2	100
sp|A6NDI0|TR49B_HUMAN	uc021qix.1	100
sp|A6NDK9|GOG6C_HUMAN	uc002azs.2	100
sp|A6NDL8|O6C68_HUMAN	uc031qhq.1	100
sp|A6NDN3|GOG6B_HUMAN	uc010uks.1	100
sp|A6NDP7|MADL2_HUMAN	uc021ufi.1	100
sp|A6NDR6|ME3L1_HUMAN	uc002gpc.3	100
sp|A6NDS4|TBC3B_HUMAN	uc002hky.2	100
sp|A6NDU8|CE051_HUMAN	uc003jmo.3	100
sp|A6NDV4|TMM8B_HUMAN	uc003zyo.4	100
sp|A6NDV4-2|TMM8B_HUMAN	uc003zyk.3	100
sp|A6NDY0|EPAB2_HUMAN	uc010vpe.2	100
sp|A6NDY0-2|EPAB2_HUMAN	uc002fmi.3	100
sp|A6NDY0-4|EPAB2_HUMAN	uc031qxi.1	100
sp|A6NDZ8|MB3L4_HUMAN	uc021unr.1	100
sp|A6NE01|F186A_HUMAN	uc001rwl.2	100
sp|A6NE02|BTBDH_HUMAN	uc002jkn.2	100
sp|A6NE82|MB3L3_HUMAN	uc021uns.1	100
sp|A6NED2|RCCD1_HUMAN	uc002bqk.3	100
sp|A6NEE1|PLHD1_HUMAN	uc010ttf.1	100
sp|A6NEK1|ARRD5_HUMAN	uc002mbm.3	100
sp|A6NEL2|SWAHB_HUMAN	uc003hki.3	100
sp|A6NEM1|GG6L9_HUMAN	uc010bmh.3	100
sp|A6NEN9|CX065_HUMAN	uc011mpo.2	100
sp|A6NEQ0|RBY1E_HUMAN	uc004fuq.4	99
sp|A6NEQ2|F181B_HUMAN	uc001ozp.3	100
sp|A6NER0|TBC3F_HUMAN	uc002hpp.2	100
sp|A6NER3|GG12J_HUMAN	uc010nit.3	100
sp|A6NET4|OR5K3_HUMAN	uc011bgw.2	100
sp|A6NEV1|PR23A_HUMAN	uc011bms.2	100
sp|A6NF83|NUR1L_HUMAN	uc031sxi.1	100
sp|A6NF89|OR6C6_HUMAN	uc010sph.2	100
sp|A6NFA1|TIKI2_HUMAN	uc021ong.1	100
sp|A6NFC5|TM235_HUMAN	uc021ued.1	100
sp|A6NFC5-2|TM235_HUMAN	uc002jvk.3	100
sp|A6NFC5-3|TM235_HUMAN	uc010dhm.2	100
sp|A6NFC9|OR2W5_HUMAN	uc001icz.2	100
sp|A6NFD8|HELT_HUMAN	uc011cko.2	100
sp|A6NFD8-4|HELT_HUMAN	uc003ixa.3	100
sp|A6NFE2|SMCO2_HUMAN	uc010sjq.2	100
sp|A6NFH5|FBP12_HUMAN	uc011lfp.2	100
sp|A6NFK2|GRCR2_HUMAN	uc003lns.1	100
sp|A6NFL8|GG6LT_HUMAN	uc010bmh.3	97
sp|A6NFN3|RFOX3_HUMAN	uc010dhs.4	100
sp|A6NFN3-2|RFOX3_HUMAN	uc010wua.2	100
sp|A6NFQ2-2|F115C_HUMAN	uc003wdh.3	100
sp|A6NFQ2-3|F115C_HUMAN	uc011ktt.2	100
sp|A6NFQ7|DPRX_HUMAN	uc002qcf.1	100
sp|A6NFR6-2|CE060_HUMAN	uc011dgo.2	100
sp|A6NFR6-4|CE060_HUMAN	uc003mki.3	100
sp|A6NFT4|CC42B_HUMAN	uc010sys.2	100
sp|A6NFU0|F187A_HUMAN	uc002ihp.1	100
sp|A6NFU8|PGPIL_HUMAN	uc002bum.3	100
sp|A6NFU8-2|PGPIL_HUMAN	uc002bun.3	100
sp|A6NFX1|MFS2B_HUMAN	uc002reo.2	100
sp|A6NFY4|T194B_HUMAN	uc010zgf.2	100
sp|A6NFY7|SDHF1_HUMAN	uc002ocp.3	99
sp|A6NFZ4|FA24A_HUMAN	uc001lgv.3	100
sp|A6NG13|MGT4D_HUMAN	uc031shc.1	100
sp|A6NGA9|TM202_HUMAN	uc002auq.3	100
sp|A6NGB7|TM221_HUMAN	uc021uqh.1	100
sp|A6NGB9|WIPF3_HUMAN	uc022aaz.1	100
sp|A6NGC4|TLCD2_HUMAN	uc021tnh.1	100
sp|A6NGE4|DC8L1_HUMAN	uc004dbx.1	100
sp|A6NGE7|URAD_HUMAN	uc010aan.1	100
sp|A6NGG3|CI092_HUMAN	uc031tcv.1	100
sp|A6NGG3-2|CI092_HUMAN	uc031tcu.1	100
sp|A6NGG8|CB071_HUMAN	uc002rmt.2	100
sp|A6NGH7|CC160_HUMAN	uc011mvj.2	100
sp|A6NGH8|ANR61_HUMAN	uc031swn.1	100
sp|A6NGJ6|TRI64_HUMAN	uc010rty.2	100
sp|A6NGK3|GAG10_HUMAN	uc010nir.1	100
sp|A6NGN4|PRA25_HUMAN	uc001ava.1	97
sp|A6NGN9|IGLO5_HUMAN	uc002pwc.2	100
sp|A6NGQ2|OOEP_HUMAN	uc003pgu.4	100
sp|A6NGR9|MROH6_HUMAN	uc010mff.3	100
sp|A6NGS2|ERIC4_HUMAN	uc010xwc.2	100
sp|A6NGU5|GGT3_HUMAN	uc003aax.2	96
sp|A6NGW2|STRCL_HUMAN	uc001zsf.3	99
sp|A6NGY1|FRG2C_HUMAN	uc011mfy.2	100
sp|A6NGY3|CE052_HUMAN	uc011ddt.2	100
sp|A6NGZ8|SMIM9_HUMAN	uc022cik.1	100
sp|A6NH00|OR2T8_HUMAN	uc010pzc.2	100
sp|A6NH11|GLTD2_HUMAN	uc002fza.2	99
sp|A6NH21|SERC4_HUMAN	uc031qrp.1	100
sp|A6NH21-2|SERC4_HUMAN	uc001zte.2	100
sp|A6NH52|TV23A_HUMAN	uc010buo.1	100
sp|A6NH57|ARL5C_HUMAN	uc010wea.2	100
sp|A6NHA9|O4C46_HUMAN	uc010ric.2	100
sp|A6NHC0|CAN8_HUMAN	uc009xee.2	100
sp|A6NHG4|DDTL_HUMAN	uc002zyy.4	100
sp|A6NHG9|O5H14_HUMAN	uc003dsg.1	100
sp|A6NHJ4|ZN860_HUMAN	uc021wuv.1	100
sp|A6NHL2|TBAL3_HUMAN	uc001ihy.3	100
sp|A6NHL2-2|TBAL3_HUMAN	uc001ihz.3	100
sp|A6NHN0|OTOL1_HUMAN	uc011bpb.2	100
sp|A6NHP3|SPE2B_HUMAN	uc011kle.2	100
sp|A6NHQ4|CQ096_HUMAN	uc010wdq.2	100
sp|A6NHR9|SMHD1_HUMAN	uc002klm.4	100
sp|A6NHS7|MANS4_HUMAN	uc010sjs.1	100
sp|A6NHT5|HMX3_HUMAN	uc010quc.2	100
sp|A6NHX0|GATL2_HUMAN	uc003ucg.2	100
sp|A6NHY2|AKD1B_HUMAN	uc031ski.1	100
sp|A6NHZ5|LR14B_HUMAN	uc003jal.1	100
sp|A6NI03|TR64B_HUMAN	uc021qoo.1	100
sp|A6NI15|MSGN1_HUMAN	uc010yjt.2	100
sp|A6NI28|RHG42_HUMAN	uc001pge.2	100
sp|A6NI47|POTEM_HUMAN	uc001vwc.3	100
sp|A6NI56|CC154_HUMAN	uc010uve.2	98
sp|A6NI56-2|CC154_HUMAN	uc010uve.2	100
sp|A6NI61|TMM8C_HUMAN	uc011mdk.2	100
sp|A6NI72|NCF1B_HUMAN	uc003ubb.3	99
sp|A6NI73|LIRA5_HUMAN	uc002qfe.3	100
sp|A6NI73-2|LIRA5_HUMAN	uc002qff.3	100
sp|A6NI73-3|LIRA5_HUMAN	uc002qfg.1	100
sp|A6NI73-4|LIRA5_HUMAN	uc002qfh.1	100
